species,Latitude,Mass
Balaenoptera musculus,25.993771,154321304.5
Balaenoptera musculus,25.959969,154321304.5
Balaenoptera musculus,26.031392,154321304.5
Balaenoptera musculus,5.927363,154321304.5
Balaenoptera musculus,36.22359,154321304.5
Balaenoptera musculus,36.901321,154321304.5
Balaenoptera musculus,36.674045,154321304.5
Balaenoptera musculus,36.858699,154321304.5
Balaenoptera musculus,36.942178,154321304.5
Balaenoptera musculus,32.571125,154321304.5
Balaenoptera musculus,32.723082,154321304.5
Balaenoptera musculus,32.920383,154321304.5
Balaenoptera musculus,36.940706,154321304.5
Balaenoptera musculus,37.71092,154321304.5
Balaenoptera musculus,78.277084,154321304.5
Balaenoptera musculus,37.795844,154321304.5
Balaenoptera musculus,32.633084,154321304.5
Balaenoptera musculus,32.717222,154321304.5
Balaenoptera musculus,36.840259,154321304.5
Balaenoptera musculus,32.714203,154321304.5
Balaenoptera musculus,33.52763,154321304.5
Balaenoptera musculus,33.669789,154321304.5
Balaenoptera musculus,36.906886,154321304.5
Balaenoptera musculus,36.648787,154321304.5
Balaenoptera musculus,36.893195,154321304.5
Balaenoptera musculus,66.038997,154321304.5
Balaenoptera musculus,32.708472,154321304.5
Balaenoptera musculus,32.744607,154321304.5
Balaenoptera musculus,78.173939,154321304.5
Balaenoptera musculus,78.136905,154321304.5
Balaenoptera musculus,78.173939,154321304.5
Balaenoptera musculus,78.173941,154321304.5
Balaenoptera musculus,36.855126,154321304.5
Balaenoptera musculus,36.73433,154321304.5
Balaenoptera musculus,36.720748,154321304.5
Balaenoptera musculus,36.946744,154321304.5
Balaenoptera musculus,36.837761,154321304.5
Balaenoptera musculus,81.279225,154321304.5
Balaenoptera musculus,36.829291,154321304.5
Balaenoptera musculus,5.715326,154321304.5
Balaenoptera musculus,5.675471,154321304.5
Balaenoptera musculus,78.868645,154321304.5
Balaenoptera musculus,37.619965,154321304.5
Balaenoptera musculus,-8.388889,154321304.5
Balaenoptera musculus,37.68365,154321304.5
Balaenoptera musculus,37.697038,154321304.5
Balaenoptera musculus,37.75919,154321304.5
Balaenoptera musculus,37.799572,154321304.5
Balaenoptera musculus,-8.2714,154321304.5
Balaenoptera musculus,-35.1489,154321304.5
Balaenoptera musculus,36.666497,154321304.5
Balaenoptera musculus,-29.013802,154321304.5
Balaenoptera musculus,-29.028319,154321304.5
Balaenoptera musculus,-50.7455,154321304.5
Balaenoptera musculus,-47.40883,154321304.5
Balaenoptera musculus,-50.71833,154321304.5
Balaenoptera musculus,-47.40883,154321304.5
Balaenoptera musculus,-47.31117,154321304.5
Balaenoptera musculus,-50.68195,154321304.5
Balaenoptera musculus,-50.77307,154321304.5
Balaenoptera musculus,-47.30874,154321304.5
Balaenoptera musculus,-47.39856,154321304.5
Balaenoptera musculus,-37.058824,154321304.5
Balaenoptera musculus,NA,154321304.5
Balaenoptera musculus,NA,154321304.5
Balaenoptera musculus,NA,154321304.5
Balaenoptera musculus,5.941381,154321304.5
Balaenoptera musculus,36.738828,154321304.5
Balaenoptera musculus,6.831856,154321304.5
Balaenoptera musculus,38.660833,154321304.5
Balaenoptera musculus,38.754533,154321304.5
Balaenoptera musculus,38.2714,154321304.5
Balaenoptera musculus,38.547217,154321304.5
Balaenoptera musculus,38.564917,154321304.5
Balaenoptera musculus,38.6644,154321304.5
Balaenoptera musculus,38.539417,154321304.5
Balaenoptera musculus,34.010986,154321304.5
Balaenoptera musculus,34.087307,154321304.5
Balaenoptera musculus,33.523567,154321304.5
Balaenoptera musculus,NA,154321304.5
Balaenoptera musculus,37.705098,154321304.5
Balaenoptera musculus,37.9548,154321304.5
Balaenoptera musculus,38.695633,154321304.5
Balaenoptera musculus,38.633917,154321304.5
Balaenoptera musculus,33.579099,154321304.5
Balaenoptera musculus,32.512091,154321304.5
Balaenoptera musculus,66.326366,154321304.5
Balaenoptera musculus,33.501988,154321304.5
Balaenoptera musculus,33.592463,154321304.5
Balaenoptera musculus,48.429388,154321304.5
Balaenoptera musculus,-32.044996,154321304.5
Balaenoptera musculus,44.1501,154321304.5
Balaenoptera musculus,42.916667,154321304.5
Balaenoptera musculus,NA,154321304.5
Balaenoptera musculus,42.47301,154321304.5
Balaenoptera musculus,5.725834,154321304.5
Balaenoptera musculus,38.219725,154321304.5
Balaenoptera musculus,49.594444,154321304.5
Balaenoptera musculus,49.48019,154321304.5
Balaenoptera musculus,45.15667,154321304.5
Balaenoptera musculus,37.333967,154321304.5
Balaenoptera musculus,37.3202,154321304.5
Balaenoptera musculus,38.579633,154321304.5
Balaenoptera musculus,38.01635,154321304.5
Balaenoptera musculus,38.987917,154321304.5
Balaenoptera musculus,38.991183,154321304.5
Balaenoptera musculus,38.539283,154321304.5
Balaenoptera musculus,38.349733,154321304.5
Balaenoptera musculus,37.952667,154321304.5
